epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.08825,1.41571,4.5316,1.02782,0.00243,0.21667,0.00337,0.00166,1.08863,4.08585,0.86071,8.33e-06,8.33e-06,8.33e-06
2,4.23929,1.39631,4.2601,1.05688,0.00629,0.21667,0.00561,0.0024,1.07837,4.0916,0.85607,2.47426e-05,2.47426e-05,2.47426e-05
3,5.17295,1.31888,4.16219,1.08731,0.00814,0.21667,0.00659,0.00263,1.07577,4.08981,0.84864,4.08253e-05,4.08253e-05,4.08253e-05
4,6.19355,1.34121,4.07731,1.07588,0.00052,0.2,0.00096,0.00046,1.08364,4.08658,0.84748,5.65782e-05,5.65782e-05,5.65782e-05
5,7.17619,1.34312,4.11664,1.04724,0.00151,0.4,0.00332,0.00087,1.12505,4.05726,0.84208,7.20012e-05,7.20012e-05,7.20012e-05
6,8.10953,1.37716,3.96556,1.06146,0.01814,0.41667,0.01251,0.00714,1.16907,4.04685,0.83855,8.70943e-05,8.70943e-05,8.70943e-05
7,9.02843,1.35163,3.90172,0.99662,0.01689,0.43333,0.02806,0.01213,1.15209,4.03809,0.82879,0.000101858,0.000101858,0.000101858
8,10.0589,1.19525,3.59052,0.99504,0.01325,0.43333,0.02504,0.01283,1.13252,4.05105,0.83591,0.000116291,0.000116291,0.000116291
9,11.0209,1.2416,3.473,0.97693,0.01385,0.25,0.03404,0.01842,1.10574,4.04654,0.83421,0.000130394,0.000130394,0.000130394
10,11.8272,1.30526,3.35456,1.01856,0.02049,0.28333,0.05401,0.02628,1.15936,4.03943,0.83684,0.000144168,0.000144168,0.000144168
11,12.8224,1.28154,3.23136,0.94218,0.01833,0.5,0.05864,0.03105,1.22208,4.0499,0.8357,0.000157612,0.000157612,0.000157612
12,13.8012,1.22473,2.92288,0.93424,0.01495,0.6,0.05558,0.02862,1.22328,4.04015,0.84404,0.000170726,0.000170726,0.000170726
13,14.6248,1.24072,2.94191,1.00389,0.01344,0.61667,0.07184,0.03719,1.23454,4.03703,0.85352,0.00018351,0.00018351,0.00018351
14,15.5949,1.26203,2.81689,0.99703,0.01211,0.61667,0.07037,0.03742,1.24314,4.02856,0.8716,0.000195964,0.000195964,0.000195964
15,16.5659,1.26138,2.68326,0.98538,0.01053,0.61667,0.08782,0.04164,1.24502,3.98945,0.88773,0.000208088,0.000208088,0.000208088
16,17.465,1.31985,2.72848,0.98938,0.00875,0.4,0.08974,0.04274,1.209,3.93423,0.87788,0.000219883,0.000219883,0.000219883
17,18.3465,1.26495,2.49053,0.97668,0.00989,0.6,0.10984,0.05294,1.22215,3.87082,0.86923,0.000231347,0.000231347,0.000231347
18,19.3404,1.27345,2.55374,0.97235,0.00959,0.6,0.11388,0.05354,1.29346,3.81711,0.87373,0.000242482,0.000242482,0.000242482
19,20.3073,1.23841,2.09582,0.95217,0.00992,0.61667,0.11706,0.05366,1.28087,3.77372,0.8825,0.000253287,0.000253287,0.000253287
20,21.1432,1.43311,2.44178,1.09778,0.01119,0.63333,0.13186,0.06262,1.27765,3.76777,0.89556,0.000263762,0.000263762,0.000263762
21,22.9308,1.27596,2.16043,0.95281,0.01089,0.63333,0.13391,0.07041,1.31916,3.72173,0.90181,0.000273907,0.000273907,0.000273907
22,23.8107,1.14502,1.87939,0.98513,0.01129,0.63333,0.12871,0.06796,1.31482,3.68046,0.90263,0.000283722,0.000283722,0.000283722
23,24.7877,1.23394,2.01934,0.95823,0.0106,0.61667,0.12126,0.06679,1.29658,3.68778,0.90101,0.000293208,0.000293208,0.000293208
24,25.757,1.18994,1.86206,0.99458,0.01197,0.63333,0.11957,0.05888,1.2524,3.66636,0.87916,0.000302363,0.000302363,0.000302363
25,26.655,1.20081,1.83303,0.95232,0.01376,0.65,0.12213,0.0542,1.25345,3.62686,0.87431,0.000311189,0.000311189,0.000311189
26,27.5918,1.20511,1.84458,0.97674,0.0117,0.61667,0.11689,0.05823,1.28029,3.59199,0.87454,0.000319685,0.000319685,0.000319685
27,28.656,1.1813,2.01125,0.91798,0.01173,0.61667,0.11695,0.05647,1.3231,3.54063,0.87263,0.00032785,0.00032785,0.00032785
28,29.6093,1.15423,1.74837,0.94934,0.01173,0.61667,0.11695,0.05647,1.3231,3.54063,0.87263,0.000335687,0.000335687,0.000335687
29,30.4456,1.2378,1.82894,0.982,0.01075,0.41667,0.11616,0.04756,1.358,3.49937,0.89381,0.000343193,0.000343193,0.000343193
30,31.3989,1.05883,1.73881,0.97565,0.01098,0.41667,0.10216,0.04249,1.35033,3.48912,0.91544,0.000350369,0.000350369,0.000350369
31,32.3261,1.09953,1.64192,0.92028,0.01098,0.41667,0.10216,0.04249,1.35033,3.48912,0.91544,0.000357215,0.000357215,0.000357215
32,33.1623,1.10244,1.9496,0.92984,0.01169,0.41667,0.09007,0.0388,1.30571,3.46152,0.91197,0.000363732,0.000363732,0.000363732
33,34.1695,1.20965,1.78715,0.96551,0.01077,0.21667,0.07114,0.04003,1.35404,3.46089,0.9452,0.000369919,0.000369919,0.000369919
34,35.0352,1.13996,1.63343,0.95073,0.01077,0.21667,0.07114,0.04003,1.35404,3.46089,0.9452,0.000375775,0.000375775,0.000375775
35,35.8851,1.15066,1.64314,0.94222,0.01308,0.23333,0.09098,0.05532,1.35469,3.40456,0.932,0.000381302,0.000381302,0.000381302
