epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,34.9709,2.91719,5.37344,4.21277,0,0,0,0,3.38708,5.32084,4.15724,2.9552e-05,2.9552e-05,2.9552e-05
46,35.8283,3.1453,5.65375,4.27542,0,0,0,0,3.38708,5.32084,4.15724,2.96935e-05,2.96935e-05,2.96935e-05
47,36.5314,3.29186,5.86035,4.29647,0,0,0,0,3.38795,5.32252,4.15728,2.98114e-05,2.98114e-05,2.98114e-05
48,37.1746,3.15991,5.61465,4.22759,0,0,0,0,3.38795,5.32252,4.15728,2.99058e-05,2.99058e-05,2.99058e-05
49,37.8426,3.55574,5.79454,4.24602,0,0,0,0,3.38745,5.32135,4.15747,2.99766e-05,2.99766e-05,2.99766e-05
50,38.4917,3.00489,5.35638,4.27244,0,0,0,0,3.38745,5.32135,4.15747,3.00238e-05,3.00238e-05,3.00238e-05
51,39.1346,3.16576,5.39801,4.2359,0,0,0,0,3.38762,5.32199,4.15745,3.00475e-05,3.00475e-05,3.00475e-05
52,39.8168,3.57255,5.39039,4.21377,0,0,0,0,3.38762,5.32199,4.15745,3.00476e-05,3.00476e-05,3.00476e-05
53,40.4365,2.75264,5.61895,4.28404,0,0,0,0,3.38762,5.32199,4.15745,3.00242e-05,3.00242e-05,3.00242e-05
54,41.1263,3.14834,5.46111,4.26112,0,0,0,0,3.38727,5.3209,4.15788,2.99772e-05,2.99772e-05,2.99772e-05
55,41.7863,3.45208,5.47693,4.23045,0,0,0,0,3.38727,5.3209,4.15788,2.99066e-05,2.99066e-05,2.99066e-05
56,42.5158,2.92215,5.48815,4.17631,0,0,0,0,3.38727,5.3209,4.15788,2.98125e-05,2.98125e-05,2.98125e-05
57,43.1999,3.09954,5.50721,4.26601,0,0,0,0,3.38738,5.32273,4.15806,2.96948e-05,2.96948e-05,2.96948e-05
58,43.8562,2.9168,5.93285,4.34422,0,0,0,0,3.38738,5.32273,4.15806,2.95535e-05,2.95535e-05,2.95535e-05
59,44.4434,2.58208,5.62264,4.33383,0,0,0,0,3.38738,5.32273,4.15806,2.93887e-05,2.93887e-05,2.93887e-05
60,45.1625,3.06151,5.36094,4.30825,0,0,0,0,3.38768,5.32564,4.15863,2.92003e-05,2.92003e-05,2.92003e-05
61,45.7557,3.42676,5.53491,4.29285,0,0,0,0,3.38768,5.32564,4.15863,2.89884e-05,2.89884e-05,2.89884e-05
62,46.4396,2.97282,5.49761,4.18545,0,0,0,0,3.38768,5.32564,4.15863,2.87529e-05,2.87529e-05,2.87529e-05
63,47.1626,2.99917,5.59045,4.26443,0,0,0,0,3.38641,5.32259,4.15902,2.84938e-05,2.84938e-05,2.84938e-05
64,47.8797,3.09763,5.68907,4.29377,0,0,0,0,3.38641,5.32259,4.15902,2.82112e-05,2.82112e-05,2.82112e-05
65,48.461,3.23393,5.47968,4.20209,0,0,0,0,3.38641,5.32259,4.15902,2.7905e-05,2.7905e-05,2.7905e-05
66,49.145,3.39122,5.35656,4.21702,0,0,0,0,3.3877,5.3233,4.15972,2.75753e-05,2.75753e-05,2.75753e-05
67,49.7622,2.98733,5.50286,4.3148,0,0,0,0,3.3877,5.3233,4.15972,2.7222e-05,2.7222e-05,2.7222e-05
68,50.413,3.05215,5.67527,4.25872,0,0,0,0,3.3877,5.3233,4.15972,2.68451e-05,2.68451e-05,2.68451e-05
69,51.0797,2.68564,5.55553,4.38196,0,0,0,0,3.38828,5.3226,4.16085,2.64447e-05,2.64447e-05,2.64447e-05
70,51.7749,3.27583,6.05022,4.37525,0,0,0,0,3.38828,5.3226,4.16085,2.60207e-05,2.60207e-05,2.60207e-05
71,52.3848,3.26244,5.55226,4.22291,0,0,0,0,3.38828,5.3226,4.16085,2.55731e-05,2.55731e-05,2.55731e-05
72,53.0456,2.78924,5.64348,4.21489,0,0,0,0,3.38846,5.32216,4.16169,2.5102e-05,2.5102e-05,2.5102e-05
73,53.6806,2.75817,5.57378,4.19908,0,0,0,0,3.38846,5.32216,4.16169,2.46073e-05,2.46073e-05,2.46073e-05
74,54.3596,3.19651,5.43844,4.23831,0,0,0,0,3.38846,5.32216,4.16169,2.40891e-05,2.40891e-05,2.40891e-05
75,55.1154,3.12701,5.6733,4.25636,0,0,0,0,3.38882,5.32232,4.16249,2.35472e-05,2.35472e-05,2.35472e-05
76,55.795,3.28431,5.65572,4.26732,0,0,0,0,3.38882,5.32232,4.16249,2.29819e-05,2.29819e-05,2.29819e-05
77,56.4408,3.02897,5.54874,4.2079,0,0,0,0,3.38882,5.32232,4.16249,2.23929e-05,2.23929e-05,2.23929e-05
78,57.1068,2.94375,5.35696,4.19674,0,0,0,0,3.38969,5.32256,4.16332,2.17805e-05,2.17805e-05,2.17805e-05
79,57.8704,3.6482,5.82542,4.22503,0,0,0,0,3.38969,5.32256,4.16332,2.11444e-05,2.11444e-05,2.11444e-05
80,58.4997,3.33919,5.53524,4.27277,0,0,0,0,3.38969,5.32256,4.16332,2.04848e-05,2.04848e-05,2.04848e-05
81,59.1715,3.02286,5.51191,4.2285,0,0,0,0,3.39003,5.32308,4.16348,1.98016e-05,1.98016e-05,1.98016e-05
82,59.8223,2.56637,5.418,4.22616,0,0,0,0,3.39003,5.32308,4.16348,1.90949e-05,1.90949e-05,1.90949e-05
83,60.4654,3.32282,5.64574,4.25865,0,0,0,0,3.39003,5.32308,4.16348,1.83646e-05,1.83646e-05,1.83646e-05
84,61.1417,2.90014,5.34399,4.2008,0,0,0,0,3.39008,5.32172,4.16507,1.76107e-05,1.76107e-05,1.76107e-05
85,61.7659,3.16736,5.30792,4.23948,0,0,0,0,3.39008,5.32172,4.16507,1.68333e-05,1.68333e-05,1.68333e-05
86,62.4563,3.25823,5.45794,4.27136,0,0,0,0,3.39008,5.32172,4.16507,1.60323e-05,1.60323e-05,1.60323e-05
87,63.3381,2.92075,5.35075,4.28634,0,0,0,0,3.39008,5.32172,4.16507,1.52077e-05,1.52077e-05,1.52077e-05
88,64.0527,3.44256,5.46731,4.18919,0,0,0,0,3.39034,5.32303,4.16631,1.43596e-05,1.43596e-05,1.43596e-05
89,64.6638,2.83155,5.44413,4.22342,0,0,0,0,3.39034,5.32303,4.16631,1.34879e-05,1.34879e-05,1.34879e-05
90,65.2993,2.99122,5.67163,4.2618,0,0,0,0,3.39034,5.32303,4.16631,1.25927e-05,1.25927e-05,1.25927e-05
91,66.8849,2.7209,5.68504,4.22128,0,0,0,0,3.39034,5.32303,4.16631,1.16739e-05,1.16739e-05,1.16739e-05
92,67.7301,2.87302,5.69512,4.27126,0,0,0,0,3.39422,5.3224,4.16683,1.07315e-05,1.07315e-05,1.07315e-05
93,68.4086,2.96212,5.42917,4.24087,0,0,0,0,3.39422,5.3224,4.16683,9.76562e-06,9.76562e-06,9.76562e-06
94,69.0966,2.6926,5.54223,4.26028,0,0,0,0,3.39422,5.3224,4.16683,8.77613e-06,8.77613e-06,8.77613e-06
95,69.7359,2.68551,5.68568,4.18442,0,0,0,0,3.39422,5.3224,4.16683,7.76308e-06,7.76308e-06,7.76308e-06
96,70.4127,2.54965,5.5318,4.26664,0,0,0,0,3.39451,5.32164,4.16831,6.72648e-06,6.72648e-06,6.72648e-06
97,71.1099,2.82757,5.65556,4.28164,0,0,0,0,3.39451,5.32164,4.16831,5.6663e-06,5.6663e-06,5.6663e-06
98,71.7821,2.92366,5.59279,4.23253,0,0,0,0,3.39451,5.32164,4.16831,4.58257e-06,4.58257e-06,4.58257e-06
99,72.4164,2.59673,5.58347,4.23645,0,0,0,0,3.39451,5.32164,4.16831,3.47528e-06,3.47528e-06,3.47528e-06
100,73.1057,3.04887,5.68655,4.24508,0,0,0,0,3.39073,5.32059,4.1692,2.34442e-06,2.34442e-06,2.34442e-06
