epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,19.8351,0.68544,2.02494,1.07629,0.78838,0.65,0.85527,0.61275,1.69344,1.23366,1.38415,2.17741e-05,2.17741e-05,2.17741e-05
26,20.4818,0.84845,1.31426,1.17757,0.78838,0.65,0.85527,0.61275,1.69344,1.23366,1.38415,2.23869e-05,2.23869e-05,2.23869e-05
27,21.2097,0.96184,1.49083,1.4115,0.77837,0.65,0.85526,0.59818,1.70287,1.29038,1.39382,2.2976e-05,2.2976e-05,2.2976e-05
28,22.3409,0.95693,1.21733,1.24654,0.77837,0.65,0.85526,0.59818,1.70287,1.29038,1.39382,2.35417e-05,2.35417e-05,2.35417e-05
29,23.105,0.93993,1.65754,1.29701,0.76118,0.65,0.85457,0.59763,1.68057,1.31509,1.38468,2.40837e-05,2.40837e-05,2.40837e-05
30,23.7691,1.10321,1.27314,1.4075,0.76118,0.65,0.85457,0.59763,1.68057,1.31509,1.38468,2.46022e-05,2.46022e-05,2.46022e-05
31,24.4577,1.01837,1.67785,1.34669,0.74607,0.65,0.85258,0.5964,1.68072,1.35769,1.38652,2.50971e-05,2.50971e-05,2.50971e-05
32,25.1598,0.65753,1.48113,1.29903,0.74607,0.65,0.85258,0.5964,1.68072,1.35769,1.38652,2.55685e-05,2.55685e-05,2.55685e-05
33,25.8536,1.06963,1.99108,1.35865,0.73805,0.65,0.85194,0.56341,1.65849,1.39219,1.37763,2.60163e-05,2.60163e-05,2.60163e-05
34,26.5859,1.09842,1.92938,1.4774,0.73805,0.65,0.85194,0.56341,1.65849,1.39219,1.37763,2.64405e-05,2.64405e-05,2.64405e-05
35,27.3782,0.90472,1.21333,1.30611,0.74705,0.65,0.85292,0.56349,1.61539,1.41625,1.35261,2.68412e-05,2.68412e-05,2.68412e-05
36,28.1602,1.03317,1.4761,1.3923,0.74705,0.65,0.85292,0.56349,1.61539,1.41625,1.35261,2.72183e-05,2.72183e-05,2.72183e-05
37,28.8329,0.96414,1.0441,1.34345,0.73093,0.65,0.8498,0.54829,1.59987,1.45635,1.34738,2.75718e-05,2.75718e-05,2.75718e-05
38,29.5719,0.56211,0.83111,0.95836,0.73093,0.65,0.8498,0.54829,1.59987,1.45635,1.34738,2.79018e-05,2.79018e-05,2.79018e-05
39,30.2915,0.71835,0.79212,1.17228,0.71374,0.65,0.84737,0.53166,1.57822,1.48069,1.34057,2.82082e-05,2.82082e-05,2.82082e-05
40,30.9929,0.76629,0.99317,1.16408,0.71374,0.65,0.84737,0.53166,1.57822,1.48069,1.34057,2.84911e-05,2.84911e-05,2.84911e-05
41,31.6368,0.7764,1.12048,1.12187,0.68825,0.65,0.84708,0.53391,1.57237,1.54898,1.34222,2.87504e-05,2.87504e-05,2.87504e-05
42,32.2692,0.94843,1.11286,1.20896,0.68825,0.65,0.84708,0.53391,1.57237,1.54898,1.34222,2.89861e-05,2.89861e-05,2.89861e-05
43,32.9785,0.96486,1.01795,1.44297,0.72193,0.65,0.84763,0.52746,1.5495,1.57806,1.33436,2.91983e-05,2.91983e-05,2.91983e-05
44,33.635,0.68323,0.94405,1.0842,0.72193,0.65,0.84763,0.52746,1.5495,1.57806,1.33436,2.93869e-05,2.93869e-05,2.93869e-05
45,34.2825,0.66845,1.42649,1.09806,0.71451,0.65,0.73745,0.42595,1.57748,1.62262,1.34842,2.9552e-05,2.9552e-05,2.9552e-05
46,34.8829,0.86189,1.01186,1.25485,0.71451,0.65,0.73745,0.42595,1.57748,1.62262,1.34842,2.96935e-05,2.96935e-05,2.96935e-05
47,35.562,0.89354,0.72281,1.26693,0.76758,0.65,0.70636,0.39971,1.55719,1.66962,1.34541,2.98114e-05,2.98114e-05,2.98114e-05
48,36.1885,0.78378,1.04452,1.14414,0.76758,0.65,0.70636,0.39971,1.55719,1.66962,1.34541,2.99058e-05,2.99058e-05,2.99058e-05
49,36.8737,1.00451,1.0907,1.37354,0.73605,0.65,0.70637,0.41063,1.55395,1.71007,1.34598,2.99766e-05,2.99766e-05,2.99766e-05
50,37.4787,0.65598,0.87336,1.10107,0.73605,0.65,0.70637,0.41063,1.55395,1.71007,1.34598,3.00238e-05,3.00238e-05,3.00238e-05
51,38.2025,0.70735,0.91187,1.20566,0.72856,0.65,0.69987,0.40009,1.58986,1.7886,1.35814,3.00475e-05,3.00475e-05,3.00475e-05
52,38.8496,0.81919,1.65923,1.18471,0.72856,0.65,0.69987,0.40009,1.58986,1.7886,1.35814,3.00476e-05,3.00476e-05,3.00476e-05
53,39.6574,0.63285,1.0144,1.08225,0.72856,0.65,0.69987,0.40009,1.58986,1.7886,1.35814,3.00242e-05,3.00242e-05,3.00242e-05
54,40.3087,0.72199,0.97202,1.10279,0.74151,0.65,0.68501,0.36723,1.58169,1.8363,1.36453,2.99772e-05,2.99772e-05,2.99772e-05
55,41.0438,0.68822,1.18109,1.16566,0.74151,0.65,0.68501,0.36723,1.58169,1.8363,1.36453,2.99066e-05,2.99066e-05,2.99066e-05
56,41.7746,0.72511,0.88696,1.27538,0.74151,0.65,0.68501,0.36723,1.58169,1.8363,1.36453,2.98125e-05,2.98125e-05,2.98125e-05
57,42.4938,0.72797,0.7121,1.21424,0.75874,0.48333,0.68428,0.36917,1.59157,1.84005,1.36543,2.96948e-05,2.96948e-05,2.96948e-05
58,43.1956,0.82072,1.12795,1.21846,0.75874,0.48333,0.68428,0.36917,1.59157,1.84005,1.36543,2.95535e-05,2.95535e-05,2.95535e-05
59,43.8718,0.71722,0.7342,1.22939,0.75874,0.48333,0.68428,0.36917,1.59157,1.84005,1.36543,2.93887e-05,2.93887e-05,2.93887e-05
60,44.6341,0.78661,0.99252,1.30998,0.76842,0.48333,0.60436,0.31398,1.6461,1.88058,1.39157,2.92003e-05,2.92003e-05,2.92003e-05
61,45.3663,0.58783,0.65692,1.06098,0.76842,0.48333,0.60436,0.31398,1.6461,1.88058,1.39157,2.89884e-05,2.89884e-05,2.89884e-05
62,46.0902,0.70933,1.01384,1.25872,0.76842,0.48333,0.60436,0.31398,1.6461,1.88058,1.39157,2.87529e-05,2.87529e-05,2.87529e-05
63,46.758,0.69517,0.86619,1.17582,0.79394,0.48333,0.5543,0.27628,1.64945,1.90754,1.39684,2.84938e-05,2.84938e-05,2.84938e-05
64,47.4016,0.78635,0.77022,1.07665,0.79394,0.48333,0.5543,0.27628,1.64945,1.90754,1.39684,2.82112e-05,2.82112e-05,2.82112e-05
65,48.0283,0.62242,0.69707,1.04374,0.79394,0.48333,0.5543,0.27628,1.64945,1.90754,1.39684,2.7905e-05,2.7905e-05,2.7905e-05
66,48.7336,0.94011,1.99812,1.33136,0.77262,0.48333,0.5502,0.26997,1.61255,1.95601,1.38226,2.75753e-05,2.75753e-05,2.75753e-05
67,49.4014,0.78607,0.91209,1.18083,0.77262,0.48333,0.5502,0.26997,1.61255,1.95601,1.38226,2.7222e-05,2.7222e-05,2.7222e-05
68,50.1227,0.64291,0.79548,1.05451,0.77262,0.48333,0.5502,0.26997,1.61255,1.95601,1.38226,2.68451e-05,2.68451e-05,2.68451e-05
69,50.85,0.74873,0.71243,1.2828,0.76632,0.48333,0.55008,0.27036,1.69408,1.99056,1.40664,2.64447e-05,2.64447e-05,2.64447e-05
70,51.5456,1.02011,1.07179,1.44039,0.76632,0.48333,0.55008,0.27036,1.69408,1.99056,1.40664,2.60207e-05,2.60207e-05,2.60207e-05
71,52.1776,0.71156,0.75144,1.17522,0.76632,0.48333,0.55008,0.27036,1.69408,1.99056,1.40664,2.55731e-05,2.55731e-05,2.55731e-05
72,53.3729,0.60748,0.95804,1.14204,0.80925,0.48333,0.57646,0.25098,1.75305,2.0517,1.4405,2.5102e-05,2.5102e-05,2.5102e-05
73,54.0948,0.48429,0.59553,1.04628,0.80925,0.48333,0.57646,0.25098,1.75305,2.0517,1.4405,2.46073e-05,2.46073e-05,2.46073e-05
74,54.7685,1.10197,1.89183,1.51157,0.80925,0.48333,0.57646,0.25098,1.75305,2.0517,1.4405,2.40891e-05,2.40891e-05,2.40891e-05
75,55.506,0.97049,0.88877,1.25942,0.77961,0.48333,0.52879,0.29052,1.76064,2.05226,1.43562,2.35472e-05,2.35472e-05,2.35472e-05
76,56.1638,1.06156,0.94583,1.43683,0.77961,0.48333,0.52879,0.29052,1.76064,2.05226,1.43562,2.29819e-05,2.29819e-05,2.29819e-05
77,56.852,0.65507,0.63555,1.03542,0.77961,0.48333,0.52879,0.29052,1.76064,2.05226,1.43562,2.23929e-05,2.23929e-05,2.23929e-05
78,57.509,0.65864,0.99699,1.1199,0.78927,0.49004,0.53369,0.26201,1.78207,2.07229,1.44561,2.17805e-05,2.17805e-05,2.17805e-05
79,58.175,0.88898,1.39507,1.34794,0.78927,0.49004,0.53369,0.26201,1.78207,2.07229,1.44561,2.11444e-05,2.11444e-05,2.11444e-05
80,58.8393,0.63537,0.62164,1.12458,0.78927,0.49004,0.53369,0.26201,1.78207,2.07229,1.44561,2.04848e-05,2.04848e-05,2.04848e-05
81,59.5147,0.79615,0.80351,1.10314,0.78104,0.48333,0.52969,0.25899,1.7298,2.07344,1.42369,1.98016e-05,1.98016e-05,1.98016e-05
82,60.1723,0.46085,0.44925,0.94602,0.78104,0.48333,0.52969,0.25899,1.7298,2.07344,1.42369,1.90949e-05,1.90949e-05,1.90949e-05
83,60.8481,0.66663,0.76337,1.03335,0.78104,0.48333,0.52969,0.25899,1.7298,2.07344,1.42369,1.83646e-05,1.83646e-05,1.83646e-05
84,61.5344,0.79052,1.33469,1.24599,0.79306,0.48439,0.52789,0.25743,1.68787,2.10626,1.41229,1.76107e-05,1.76107e-05,1.76107e-05
85,62.2085,0.62397,0.72334,1.18057,0.79306,0.48439,0.52789,0.25743,1.68787,2.10626,1.41229,1.68333e-05,1.68333e-05,1.68333e-05
86,62.8495,0.61503,0.83103,1.14829,0.79306,0.48439,0.52789,0.25743,1.68787,2.10626,1.41229,1.60323e-05,1.60323e-05,1.60323e-05
87,63.4978,0.57427,0.65925,1.08921,0.79306,0.48439,0.52789,0.25743,1.68787,2.10626,1.41229,1.52077e-05,1.52077e-05,1.52077e-05
88,64.1866,0.74337,0.99864,1.1289,0.79151,0.48333,0.52469,0.24487,1.72182,2.15623,1.43309,1.43596e-05,1.43596e-05,1.43596e-05
89,64.8505,0.68414,0.69946,1.17705,0.79151,0.48333,0.52469,0.24487,1.72182,2.15623,1.43309,1.34879e-05,1.34879e-05,1.34879e-05
90,65.4954,0.82091,0.70141,1.107,0.79151,0.48333,0.52469,0.24487,1.72182,2.15623,1.43309,1.25927e-05,1.25927e-05,1.25927e-05
91,66.7936,0.56666,0.50707,1.05309,0.79151,0.48333,0.52469,0.24487,1.72182,2.15623,1.43309,1.16739e-05,1.16739e-05,1.16739e-05
92,67.5912,0.43802,0.47426,0.84658,0.78248,0.48333,0.52391,0.25316,1.74176,2.14727,1.44431,1.07315e-05,1.07315e-05,1.07315e-05
93,68.254,0.46582,0.4958,0.95394,0.78248,0.48333,0.52391,0.25316,1.74176,2.14727,1.44431,9.76562e-06,9.76562e-06,9.76562e-06
94,68.9318,0.60049,0.60786,1.12301,0.78248,0.48333,0.52391,0.25316,1.74176,2.14727,1.44431,8.77613e-06,8.77613e-06,8.77613e-06
95,69.5615,0.56803,0.66631,1.07944,0.78248,0.48333,0.52391,0.25316,1.74176,2.14727,1.44431,7.76308e-06,7.76308e-06,7.76308e-06
96,70.3313,0.8307,0.7516,1.2223,0.77678,0.47243,0.52487,0.26032,1.69791,2.05122,1.40558,6.72648e-06,6.72648e-06,6.72648e-06
97,71.0924,0.51537,0.44972,0.8915,0.77678,0.47243,0.52487,0.26032,1.69791,2.05122,1.40558,5.6663e-06,5.6663e-06,5.6663e-06
98,71.7667,0.53389,0.59044,1.00532,0.77678,0.47243,0.52487,0.26032,1.69791,2.05122,1.40558,4.58257e-06,4.58257e-06,4.58257e-06
99,72.4311,0.57561,0.52433,1.02165,0.77678,0.47243,0.52487,0.26032,1.69791,2.05122,1.40558,3.47528e-06,3.47528e-06,3.47528e-06
100,73.1617,0.46224,0.4266,0.93448,0.80676,0.46667,0.53341,0.27836,1.73076,1.96964,1.43103,2.34442e-06,2.34442e-06,2.34442e-06
