epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.54179,1.08116,2.73711,1.47242,0.56606,0.85,0.8784,0.63414,1.65193,1.03372,1.38082,0,0,0
2,3.24096,1.18559,2.79225,1.48704,0.55713,0.85,0.88647,0.63455,1.67281,1.02658,1.38476,1.17822e-06,1.17822e-06,1.17822e-06
3,3.88328,1.09691,2.50696,1.21991,0.55932,0.85,0.85059,0.61537,1.67958,1.01711,1.38785,2.33288e-06,2.33288e-06,2.33288e-06
4,4.52025,1.19157,2.75355,1.49792,0.54466,0.85,0.85609,0.63652,1.67392,0.99186,1.37076,3.46397e-06,3.46397e-06,3.46397e-06
5,5.12258,1.20533,2.44596,1.61871,0.54882,0.85,0.85777,0.63681,1.67164,1.01322,1.36695,4.5715e-06,4.5715e-06,4.5715e-06
6,5.82633,0.8319,1.92757,1.14566,0.54302,0.85952,0.85709,0.62789,1.68069,1.01191,1.37152,5.65548e-06,5.65548e-06,5.65548e-06
7,6.54961,1.40239,2.77234,1.77138,0.53211,0.86247,0.8582,0.62846,1.67385,1.00863,1.36972,6.71588e-06,6.71588e-06,6.71588e-06
8,7.32385,1.19332,3.85586,1.6574,0.55603,0.86667,0.86242,0.63182,1.68007,1.02663,1.36787,7.75273e-06,7.75273e-06,7.75273e-06
9,8.05232,0.89695,2.95483,1.27599,0.55246,0.86667,0.85988,0.6297,1.67765,1.02839,1.36425,8.76602e-06,8.76602e-06,8.76602e-06
10,8.73273,1.03904,2.17766,1.27113,0.53036,0.86667,0.89477,0.63409,1.67567,1.03511,1.36238,9.75574e-06,9.75574e-06,9.75574e-06
11,9.46416,1.19323,2.27063,1.57146,0.62977,0.9452,0.90932,0.64352,1.67116,1.03582,1.35966,1.07219e-05,1.07219e-05,1.07219e-05
12,10.187,1.0059,2.28221,1.37895,0.64017,0.94578,0.90859,0.64458,1.67472,1.04384,1.36093,1.16645e-05,1.16645e-05,1.16645e-05
13,10.9332,1.36656,3.24317,1.80391,0.62589,0.95,0.90859,0.64711,1.6877,1.05447,1.3648,1.25835e-05,1.25835e-05,1.25835e-05
14,11.643,0.78258,2.38502,1.20137,0.63105,0.78333,0.90991,0.64699,1.68814,1.06785,1.36407,1.3479e-05,1.3479e-05,1.3479e-05
15,12.4511,1.28409,3.03834,1.53126,0.63548,0.78333,0.9101,0.6513,1.68413,1.07868,1.36361,1.43509e-05,1.43509e-05,1.43509e-05
16,13.1698,1.20643,2.07034,1.51264,0.63811,0.78333,0.91006,0.6513,1.67233,1.07755,1.35753,1.51993e-05,1.51993e-05,1.51993e-05
17,13.9763,0.80405,1.54871,1.16894,0.64478,0.78333,0.91009,0.62846,1.67471,1.09336,1.3614,1.60241e-05,1.60241e-05,1.60241e-05
18,14.6298,0.61973,1.31234,0.99169,0.64478,0.78333,0.91009,0.62846,1.67471,1.09336,1.3614,1.68253e-05,1.68253e-05,1.68253e-05
19,15.3898,0.69187,1.54323,1.03219,0.83572,0.65,0.86829,0.62115,1.68487,1.13374,1.37391,1.7603e-05,1.7603e-05,1.7603e-05
20,16.0762,1.1373,1.72691,1.3319,0.83572,0.65,0.86829,0.62115,1.68487,1.13374,1.37391,1.83571e-05,1.83571e-05,1.83571e-05
21,16.7267,0.75265,1.78121,1.17039,0.80504,0.65,0.85508,0.62681,1.6852,1.1784,1.37415,1.90876e-05,1.90876e-05,1.90876e-05
22,17.747,1.03792,1.68473,1.22211,0.80504,0.65,0.85508,0.62681,1.6852,1.1784,1.37415,1.97946e-05,1.97946e-05,1.97946e-05
23,18.4564,0.92119,1.69809,1.36657,0.78926,0.65,0.85511,0.6269,1.68765,1.2051,1.37798,2.0478e-05,2.0478e-05,2.0478e-05
24,19.1315,0.91196,1.63542,1.22669,0.78926,0.65,0.85511,0.6269,1.68765,1.2051,1.37798,2.11379e-05,2.11379e-05,2.11379e-05
