epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.70061,1.41571,4.5316,1.02782,0.00243,0.21667,0.00337,0.00166,1.08863,4.08585,0.86071,8.33e-06,8.33e-06,8.33e-06
2,3.74014,1.39631,4.2601,1.05688,0.00629,0.21667,0.00561,0.0024,1.07837,4.0916,0.85607,2.47426e-05,2.47426e-05,2.47426e-05
3,4.75737,1.31888,4.16219,1.08731,0.00814,0.21667,0.00659,0.00263,1.07577,4.08981,0.84864,4.08253e-05,4.08253e-05,4.08253e-05
4,5.73674,1.34121,4.07731,1.07588,0.00052,0.2,0.00096,0.00046,1.08364,4.08658,0.84748,5.65782e-05,5.65782e-05,5.65782e-05
5,6.60419,1.34312,4.11664,1.04724,0.00151,0.4,0.00332,0.00087,1.12505,4.05726,0.84208,7.20012e-05,7.20012e-05,7.20012e-05
6,7.54838,1.37716,3.96556,1.06146,0.01814,0.41667,0.01251,0.00714,1.16907,4.04685,0.83855,8.70943e-05,8.70943e-05,8.70943e-05
7,8.50868,1.35163,3.90172,0.99662,0.01689,0.43333,0.02806,0.01213,1.15209,4.03809,0.82879,0.000101858,0.000101858,0.000101858
8,9.36822,1.19525,3.59052,0.99504,0.01325,0.43333,0.02504,0.01283,1.13252,4.05105,0.83591,0.000116291,0.000116291,0.000116291
9,10.2773,1.2416,3.473,0.97693,0.01385,0.25,0.03404,0.01842,1.10574,4.04654,0.83421,0.000130394,0.000130394,0.000130394
